label,step,mean_success,std_success,count
Sparse,5000,0.10800000000000001,0.048166378315169185,5
Sparse,10000,0.472,0.06418722614352489,5
Sparse,15000,0.5920000000000001,0.05019960159204452,5
Sparse,20000,0.672,0.05019960159204453,5
Sparse,25000,0.764,0.055497747702046414,5
Sparse,30000,0.8399999999999999,0.0748331477354788,5
Sparse,35000,0.9039999999999999,0.04335896677735758,5
Sparse,40000,0.8720000000000001,0.010954451150103333,5
Sparse,45000,0.9480000000000001,0.017888543819998336,5
Sparse,50000,0.944,0.03286335345030994,5
Reward Shaped (Human),5000,0.055999999999999994,0.04098780306383839,5
Reward Shaped (Human),10000,0.604,0.13740451229854134,5
Reward Shaped (Human),15000,0.8320000000000001,0.0923038460737146,5
Reward Shaped (Human),20000,0.8480000000000001,0.06723094525588642,5
Reward Shaped (Human),25000,0.8639999999999999,0.08988882021697692,5
Reward Shaped (Human),30000,0.9040000000000001,0.06542170893518447,5
Reward Shaped (Human),35000,0.952,0.05215361924162119,5
Reward Shaped (Human),40000,0.976,0.016733200530681527,5
Reward Shaped (Human),45000,0.9879999999999999,0.017888543819998333,5
Reward Shaped (Human),50000,1.0,0.0,5
